idx,iso_utc,iso_ct,t,ticker,asset,side,price,mid,fairValue,edgeCents,yesBid,yesAsk,inventoryBefore,inventory,scenarioId,reason,centerMode,captureCents,realizedDelta,cashAfter,minutesLeft,fillSize,spot,strike,queueAhead,source,spread,fv_vs_mid_cents,price_vs_mid_cents
32,2026-09-24T00:02:02.447Z,2026-09-23 19:02:02.447 CT,1790208122447,KXHYPE15M-26SEP232015-15,HYPE,buy_yes,0.62,0.625,0.5890055260535039,-5.599447394649615,0.62,0.67,-1,0,house_cover,book_depth,mid,1.0000000000000009,0.010000000000000009,99.41999999999999,12.966783333333334,1,94.07,93.9959,0,ui,5.000000000000004,-3.599447394649613,-0.5000000000000004
33,2026-09-24T00:03:06.786Z,2026-09-23 19:03:06.786 CT,1790208186786,KXDOGE15M-26SEP232015-15,DOGE,sell_yes,0.57,0.575,0.5572758977700426,1.2275897770042565,0.53,0.57,0,-1,house_mid,mid_walk,mid,0,0,100.171,11.898016666666667,1,0.09277,0.092725,,ui,3.9999999999999925,-1.772410222995735,-0.5000000000000004
34,2026-09-24T00:03:07.750Z,2026-09-23 19:03:07.750 CT,1790208187750,KXBTC15M-26SEP232015-15,BTC,sell_yes,0.74,0.745,0.5949602334427324,-12.003976655726756,0.7,0.74,0,-1,house_mid,taker_cross,mid,0,0,100.74,11.8809,1,84449,84380.99,,ui,4.0000000000000036,-15.003976655726758,-0.5000000000000004
35,2026-09-24T00:10:15.649Z,2026-09-23 19:10:15.649 CT,1790208615649,KXHYPE15M-26SEP232015-15,HYPE,buy_yes,0.84,0.84,0.99,13.5,0.84,0.88,0,1,house_mid,mid_walk,mid,0,0,98.57999999999998,4.747816666666667,1,94.46,93.9959,,ui,4.0000000000000036,15.000000000000002,0.0
36,2026-09-24T00:11:44.923Z,2026-09-23 19:11:44.923 CT,1790208704923,KXBNB15M-26SEP232015-15,BNB,buy_yes,0.01,0.0125,0.5679208599929986,55.14208599929986,0.01,0.04,-1,0,house_cover,book_depth,mid,46,0.45999999999999996,100.46,3.2600333333333333,1,767.62,767.39,0,ui,3.0,55.542085999299864,-0.25000000000000006
37,2026-09-24T00:13:01.350Z,2026-09-23 19:13:01.350 CT,1790208781350,KXBTC15M-26SEP232015-15,BTC,buy_yes,0.05,0.0505,0.3922970692197006,34.17970692197006,0.05,0.07,-1,0,flatten,taker_cross,mid,69,0.69,100.69,1.98485,1,84349.71,84380.99,,ui,2.0000000000000004,34.17970692197006,-0.050000000000000044
38,2026-09-24T00:13:01.352Z,2026-09-23 19:13:01.352 CT,1790208781352,KXETH15M-26SEP232015-15,ETH,sell_yes,0.32,0.325,0.5368323138018458,19.183231380184584,0.31,0.32,1,0,flatten,taker_cross,mid,-35,-0.35000000000000003,99.64999999999999,1.98485,1,2684.74,2684.4,,ui,1.0000000000000009,21.18323138018458,-0.5000000000000004
39,2026-09-24T00:13:01.353Z,2026-09-23 19:13:01.353 CT,1790208781353,KXHYPE15M-26SEP232015-15,HYPE,sell_yes,0.42,0.425,0.5125232154675423,9.252321546754228,0.4,0.42,1,0,flatten,taker_cross,mid,-42,-0.42,98.99999999999999,1.98485,1,94,93.9959,,ui,1.9999999999999962,8.752321546754233,-0.5000000000000004
40,2026-09-24T00:13:01.355Z,2026-09-23 19:13:01.355 CT,1790208781355,KXDOGE15M-26SEP232015-15,DOGE,buy_yes,0.08,0.07300000000000001,0.08228221667680273,1.1782216676802724,0.08,0.09,-1,0,flatten,taker_cross,mid,48.99999999999999,0.48999999999999994,100.09100000000001,1.98485,1,0.09255,0.092725,,ui,0.9999999999999996,0.9282216676802721,0.6999999999999993
41,2026-09-24T00:15:09.707Z,2026-09-23 19:15:09.707 CT,1790208909707,KXBTC15M-26SEP232030-30,BTC,sell_yes,0.63,0.635,0.5159675918206938,-8.903240817930612,0.59,0.63,0,-1,house_mid,taker_cross,mid,0,0,100.63,14.844866666666666,1,84358.48,84345.33,,ui,4.0000000000000036,-11.903240817930616,-0.5000000000000004
