idx,iso_utc,iso_ct,t,ticker,asset,side,price,mid,fairValue,edgeCents,yesBid,yesAsk,inventoryBefore,inventory,scenarioId,reason,centerMode,captureCents,realizedDelta,cashAfter,minutesLeft,fillSize,spot,strike,queueAhead,source,spread,fv_vs_mid_cents,price_vs_mid_cents,is_open_increase
17,2026-09-24T00:47:30.041Z,2026-09-23 19:47:30.041 CT,1790210850041,KXZEC15M-26SEP232100-00,ZEC,buy_yes,0.52,0.505,0.5103722045431762,-2.9627795456823813,0.52,0.56,0,1,house_mid,taker_cross,mid,0,0,99.78000000000002,12.506383333333334,1,1512,1511.857,,ui,4.0,0.5372,1.5,True
18,2026-09-24T00:47:53.113Z,2026-09-23 19:47:53.113 CT,1790210873113,KXZEC15M-26SEP232100-00,ZEC,sell_yes,0.52,0.495,0.510556858836867,4.055685883686699,0.45,0.52,1,0,house_cover,book_depth,mid,0,0,100.30000000000001,12.121433333333334,1,1512,1511.857,0,ui,7.0,1.5557,2.5,False
19,2026-09-24T00:48:04.186Z,2026-09-23 19:48:04.186 CT,1790210884186,KXZEC15M-26SEP232100-00,ZEC,buy_yes,0.49,0.49,0.5106460070214194,0.5646007021419375,0.49,0.53,0,1,house_mid,mid_walk,mid,0,0,99.81000000000002,11.941683333333334,1,1512,1511.857,,ui,4.0,2.0646,0.0,True
20,2026-09-24T00:48:11.155Z,2026-09-23 19:48:11.155 CT,1790210891155,KXETH15M-26SEP232100-00,ETH,sell_yes,0.28,0.28500000000000003,0.42016459453996585,16.516459453996585,0.24,0.28,0,-1,house_mid,taker_cross,mid,0,0,100.28,11.8217,1,2683.43,2685.21,,ui,4.0,13.5165,-0.5,True
21,2026-09-24T00:50:12.675Z,2026-09-23 19:50:12.675 CT,1790211012675,KXBTC15M-26SEP232100-00,BTC,buy_yes,0.43,0.425,0.4778361594590736,3.283615945907359,0.43,0.47,0,1,house_mid,taker_cross,mid,0,0,99.57,9.800683333333334,1,84328.54,84342.32,,ui,4.0,5.2836,0.5,True
22,2026-09-24T00:53:36.585Z,2026-09-23 19:53:36.585 CT,1790211216585,KXBNB15M-26SEP232100-00,BNB,buy_yes,0.01,0.0115,0.4359958255288982,41.94958255288982,0.01,0.04,-1,0,house_cover,taker_cross,mid,46,0.45999999999999996,100.46,6.402416666666666,1,768.02,768.32,,ui,3.0,42.4496,-0.15,False
23,2026-09-24T00:56:12.228Z,2026-09-23 19:56:12.228 CT,1790211372228,KXETH15M-26SEP232100-00,ETH,buy_yes,0.01,0.011,0.2643447226394981,24.634472263949807,0.01,0.04,-1,0,flatten,taker_cross,mid,27,0.27,100.27,3.8087,1,2682.03,2685.21,,ui,3.0,25.3345,-0.1,False
24,2026-09-24T00:58:00.694Z,2026-09-23 19:58:00.694 CT,1790211480694,KXSOL15M-26SEP232100-00,SOL,buy_yes,0.75,0.745,0.8416270636968024,10.16270636968024,0.75,0.76,-1,0,flatten,taker_cross,mid,-28.999999999999996,-0.29,99.71,1.9934,1,115.22,115.0628,,ui,1.0,9.6627,0.5,False
25,2026-09-24T00:58:02.646Z,2026-09-23 19:58:02.646 CT,1790211482646,KXBTC15M-26SEP232100-00,BTC,sell_yes,0.034,0.037000000000000005,0.3881993675460719,35.019936754607194,0.01,0.03,1,0,flatten,taker_cross,mid,-39.6,-0.396,99.604,1.96775,1,84309.97,84342.32,,ui,2.0,35.1199,-0.3,False
26,2026-09-24T00:58:05.652Z,2026-09-23 19:58:05.652 CT,1790211485652,KXZEC15M-26SEP232100-00,ZEC,sell_yes,0.01,0.007,0.260118848226073,25.3118848226073,0.01,0.01,1,0,flatten,book_depth,mid,-48,-0.48,99.82000000000002,1.91645,1,1510.56,1511.857,0,ui,0.0,25.3119,0.3,False
27,2026-09-24T01:00:22.341Z,2026-09-23 20:00:22.341 CT,1790211622341,KXHYPE15M-26SEP232115-15,HYPE,sell_yes,0.44,0.445,0.35061280943591594,-5.938719056408409,0.39,0.43,0,-1,house_mid,taker_cross,mid,0,0,100.44,14.638983333333334,1,93.76,93.8923,,ui,4.0,-9.4387,-0.5,True
28,2026-09-24T01:00:36.324Z,2026-09-23 20:00:36.324 CT,1790211636324,KXDOGE15M-26SEP232115-15,DOGE,buy_yes,0.54,0.53,0.3396179419751524,-21.538205802484768,0.54,0.58,0,1,house_mid,taker_cross,mid,0,0,99.46,14.399266666666668,1,0.09278,0.09292,,ui,4.0,-19.0382,1.0,True
29,2026-09-24T01:00:36.326Z,2026-09-23 20:00:36.326 CT,1790211636326,KXBTC15M-26SEP232115-15,BTC,buy_yes,0.5,0.5,0.5167685830071054,0.1768583007105362,0.5,0.54,0,1,house_mid,mid_walk,mid,0,0,99.5,14.399266666666668,1,84324.53,84310.98,,ui,4.0,1.6769,0.0,True
30,2026-09-24T01:01:16.469Z,2026-09-23 20:01:16.469 CT,1790211676469,KXNEAR15M-26SEP232115-15,NEAR,buy_yes,0.55,0.545,0.4320565009387454,-15.294349906125454,0.56,0.61,0,1,house_mid,taker_cross,mid,0,0,99.45,13.7322,1,4.291,4.2936,,ui,5.0,-11.2943,0.5,True
31,2026-09-24T01:01:31.621Z,2026-09-23 20:01:31.621 CT,1790211691621,KXNEAR15M-26SEP232115-15,NEAR,sell_yes,0.55,0.535,0.4314544307781201,-8.854556922187989,0.5,0.55,1,0,house_cover,book_depth,mid,0,0,100,13.484583333333333,1,4.291,4.2936,0,ui,5.0,-10.3546,1.5,False
32,2026-09-24T01:02:04.678Z,2026-09-23 20:02:04.678 CT,1790211724678,KXXRP15M-26SEP232115-15,XRP,sell_yes,0.62,0.625,0.6697786744825385,7.47786744825385,0.57,0.62,0,-1,house_mid,taker_cross,mid,0,0,100.62,12.928433333333333,1,1.5038,1.5015,,ui,5.0,4.4779,-0.5,True
33,2026-09-24T01:04:34.312Z,2026-09-23 20:04:34.312 CT,1790211874312,KXNEAR15M-26SEP232115-15,NEAR,sell_yes,0.23,0.22999999999999998,0.015979399780864132,-19.402060021913588,0.19,0.23,0,-1,house_mid,mid_walk,mid,0,0,100.23,10.436483333333333,1,4.265,4.2936,,ui,4.0,-21.4021,0.0,True
34,2026-09-24T01:05:03.504Z,2026-09-23 20:05:03.504 CT,1790211903504,KXNEAR15M-26SEP232115-15,NEAR,buy_yes,0.2,0.20500000000000002,0.020541709313687945,-19.445829068631205,0.2,0.24,-1,0,house_cover,book_depth,mid,3,0.03,100.03,9.9499,1,4.267,4.2936,0,ui,4.0,-18.4458,-0.5,False
