idx,iso_utc,iso_ct,t,ticker,asset,side,price,mid,fairValue,edgeCents,yesBid,yesAsk,inventoryBefore,inventory,scenarioId,reason,centerMode,captureCents,realizedDelta,cashAfter,minutesLeft,fillSize,spot,strike,queueAhead,source,spread,fv_vs_mid_cents,price_vs_mid_cents
33,2026-09-23T22:43:02.036Z,2026-09-23 17:43:02.036 CT,1790203382036,KXETH15M-26SEP231845-45,ETH,sell_yes,0.01,0.01,0.1482569347394251,14.075693473942511,0.01,0.01,1,0,flatten,taker_cross,mid,-22,-0.22,99.78,1.9742,1,2683.9,2687.7,,ui,0.0,13.8257,0.0
34,2026-09-23T22:43:03.201Z,2026-09-23 17:43:03.201 CT,1790203383201,KXHYPE15M-26SEP231845-45,HYPE,sell_yes,0.01,0.006,0.020024367722791873,1.4024367722791873,0.01,0.01,1,0,flatten,book_depth,mid,-15,-0.15,99.85000000000001,1.957,1,93.61,93.8698,0,ui,0.0,1.4024,0.4
35,2026-09-23T22:43:22.482Z,2026-09-23 17:43:22.482 CT,1790203402482,KXBTC15M-26SEP231845-45,BTC,buy_yes,0.13,0.125,0.5681437748576463,38.31437748576463,0.17,0.21,0,1,house_mid,taker_cross,mid,0,0,99.86000000000001,1.6407166666666666,1,84503.06,84484.97,,ui,4.0,44.3144,0.5
36,2026-09-23T22:43:28.243Z,2026-09-23 17:43:28.243 CT,1790203408243,KXBTC15M-26SEP231845-45,BTC,sell_yes,0.11,0.11499999999999999,0.5707399669594521,45.573996695945205,0.09,0.11,1,0,flatten,taker_cross,mid,-2.0000000000000004,-0.020000000000000004,99.97000000000001,1.53805,1,84503.06,84484.97,,ui,2.0,45.574,-0.5
37,2026-09-23T22:45:26.062Z,2026-09-23 17:45:26.062 CT,1790203526062,KXNEAR15M-26SEP231900-00,NEAR,sell_yes,0.53,0.505,0.6774146083860979,18.24146083860979,0.48,0.53,0,-1,house_mid,book_depth,mid,0,0,100.53,14.5794,1,4.288,4.2807,0,ui,5.0,17.2415,2.5
38,2026-09-23T22:45:34.767Z,2026-09-23 17:45:34.767 CT,1790203534767,KXZEC15M-26SEP231900-00,ZEC,sell_yes,0.62,0.61,0.4339595668494353,-15.604043315056465,0.57,0.62,0,-1,house_mid,book_depth,mid,0,0,100.62,14.425333333333333,1,1487.61,1488.5072,0,ui,5.0,-17.604,1.0
39,2026-09-23T22:45:36.652Z,2026-09-23 17:45:36.652 CT,1790203536652,KXNEAR15M-26SEP231900-00,NEAR,buy_yes,0.45,0.47,0.7226341167667174,24.763411676671744,0.45,0.5,-1,0,S3,book_depth,mid,8.000000000000002,0.08000000000000002,100.08,14.3996,1,4.29,4.2807,0,ui,5.0,25.2634,-2.0
40,2026-09-23T22:47:13.824Z,2026-09-23 17:47:13.824 CT,1790203633824,KXXRP15M-26SEP231900-00,XRP,sell_yes,0.82,0.825,0.7792367769694857,-1.5763223030514362,0.78,0.82,0,-1,house_mid,taker_cross,mid,0,0,100.82,12.795016666666667,1,1.504,1.5,,ui,4.0,-4.5763,-0.5
41,2026-09-23T22:47:13.828Z,2026-09-23 17:47:13.828 CT,1790203633828,KXBNB15M-26SEP231900-00,BNB,sell_yes,0.89,0.895,0.44823001759997155,-41.676998240002845,0.85,0.89,0,-1,house_mid,taker_cross,mid,0,0,100.89,12.795016666666667,1,766.74,767.08,,ui,4.0,-44.677,-0.5
42,2026-09-23T22:48:18.809Z,2026-09-23 17:48:18.809 CT,1790203698809,KXNEAR15M-26SEP231900-00,NEAR,sell_yes,0.92,0.9299999999999999,0.9681314362548734,10.813143625487342,0.84,0.88,0,-1,house_mid,taker_cross,mid,0,0,101,11.694416666666667,1,4.307,4.2807,,ui,4.0,3.8131,-1.0
43,2026-09-23T22:54:17.035Z,2026-09-23 17:54:17.035 CT,1790204057035,KXNEAR15M-26SEP231900-00,NEAR,buy_yes,0,0.991,0.99,0.04999999999999449,0.97,0.99,-1,0,S3,taker_cross,mid,92,0.92,101,5.7261,1,4.351,4.2807,,ui,2.0,-0.1,-99.1
44,2026-09-23T22:55:49.513Z,2026-09-23 17:55:49.513 CT,1790204149513,KXZEC15M-26SEP231900-00,ZEC,buy_yes,0,0.991,0.99,0.04999999999999449,0.97,0.99,-1,0,S3,taker_cross,mid,62,0.62,100.62,4.18605,1,1498.14,1488.5072,,ui,2.0,-0.1,-99.1
45,2026-09-23T22:56:38.892Z,2026-09-23 17:56:38.892 CT,1790204198892,KXBNB15M-26SEP231900-00,BNB,buy_yes,0,0.998,0.7690682098656227,-21.993179013437725,0.97,0.99,-1,0,S3,taker_cross,mid,89,0.89,100.89,3.3571333333333335,1,768.08,767.08,,ui,2.0,-22.8932,-99.8
46,2026-09-23T22:57:15.438Z,2026-09-23 17:57:15.438 CT,1790204235438,KXXRP15M-26SEP231900-00,XRP,buy_yes,0,0.959,0.9147468063220922,-4.925319367790781,0.95,0.99,-1,0,S3,taker_cross,mid,82,0.82,100.82,2.7563333333333335,1,1.5033,1.5,,ui,4.0,-4.4253,-95.9
47,2026-09-23T23:00:24.564Z,2026-09-23 18:00:24.564 CT,1790204424564,KXSOL15M-26SEP231915-15,SOL,sell_yes,0.5,0.5,0.5711480497499483,9.61480497499483,0.45,0.5,0,-1,house_mid,mid_walk,mid,0,0,100.5,14.595266666666667,1,115.16,115.083,,ui,5.0,7.1148,0.0
48,2026-09-23T23:00:56.047Z,2026-09-23 18:00:56.047 CT,1790204456047,KXDOGE15M-26SEP231915-15,DOGE,buy_yes,0.48,0.47,0.6756858817464616,18.06858817464616,0.48,0.52,0,1,house_mid,taker_cross,mid,0,0,99.52,14.094516666666667,1,0.09278,0.092626,,ui,4.0,20.5686,1.0
49,2026-09-23T23:00:56.054Z,2026-09-23 18:00:56.054 CT,1790204456054,KXBNB15M-26SEP231915-15,BNB,buy_yes,0.28,0.275,0.5050118155600867,16.00118155600867,0.32,0.37,0,1,house_mid,taker_cross,mid,0,0,100.61,14.0945,1,767.93,767.89,,ui,5.0,23.0012,0.5
50,2026-09-23T23:01:28.506Z,2026-09-23 18:01:28.506 CT,1790204488506,KXBTC15M-26SEP231915-15,BTC,buy_yes,0.21,0.20500000000000002,0.4450499406561696,22.00499406561696,0.21,0.25,0,1,house_mid,taker_cross,mid,0,0,99.79,13.534966666666667,1,84512.14,84553.11,,ui,4.0,24.005,0.5
